0,40,48,4.5,1,1
0,52,55,1,1,1
0,64,62,0.5,0,1
0,68,64,1,0,1
0.5,59,59,0.5,0,1
1,51,54,0.5,1,1
1,66,63,0.5,0,1
1,69,65,0.5,0,1
1.5,50,54,1,1,1
1.5,68,64,0.5,0,1
1.5,71,66,1,0,1
2,64,62,0.5,0,1
2.5,49,53,0.5,1,1
2.5,69,65,1,0,1
2.5,73,67,0.5,0,1
3,40,48,1.5,1,2
3,47,52,1.5,1,2
3,69,65,0.5,0,2
3,76,69,1,0,2
3.5,66,63,0.5,0,2
4,71,66,0.5,0,2
4,74,68,0.5,0,2
4.5,40,48,1,1,2
4.5,52,55,1,1,2
4.5,68,64,1,0,2
4.5,71,66,1,0,2
5.5,69,65,1,0,2
6,66,63,1,1,3
6,69,65,0.5,0,3
6,81,72,1,0,3
6.5,69,65,1.5,0,3
7,64,62,0.5,1,3
7,80,71,0.5,0,3
7.5,57,58,1,1,3
7.5,62,61,1,1,3
7.5,69,65,0.5,0,3
7.5,78,70,1,0,3
8,69,65,1.5,0,3
8.5,61,60,0.5,1,3
8.5,76,69,0.5,0,3
9,49,53,1,1,4
9,61,60,2,1,4
9,69,65,0.5,0,4
9,78,70,1,0,4
9.5,69,65,2,0,4
10,50,54,0.5,1,4
10,76,69,0.5,0,4
10.5,52,55,1.5,1,4
10.5,61,60,0.5,1,4
10.5,69,65,0.5,0,4
10.5,76,69,0.5,0,4
11,57,58,0.5,1,4
11,64,62,0.5,0,4
11,73,67,0.5,0,4
11.5,56,57,0.5,1,4
11.5,64,62,0.5,0,4
11.5,71,66,0.5,0,4
12,40,48,4,1,5
12,52,55,1,1,5
12,64,62,0.5,0,5
12,68,64,1,0,5
12.5,59,59,0.5,0,5
13,51,54,0.5,1,5
13,66,63,0.5,0,5
13,69,65,0.5,0,5
13.5,50,54,1,1,5
13.5,68,64,0.5,0,5
13.5,71,66,1,0,5
14,64,62,0.5,0,5
14.5,49,53,0.5,1,5
14.5,69,65,1,0,5
14.5,73,67,0.5,0,5
15,40,48,1,1,6
15,47,52,0.5,1,6
15,69,65,0.5,0,6
15,76,69,1,0,6
15.5,52,55,0.5,1,6
15.5,68,64,0.5,0,6
16,41,48,0.5,1,6
16,53,55,0.5,1,6
16,68,64,0.5,0,6
16,71,66,0.5,0,6
16,74,68,0.5,0,6
16.5,42,49,1.5,1,6
16.5,54,56,1.5,1,6
16.5,69,65,1.5,0,6
16.5,73,67,1.5,0,6
18,42,49,1.5,1,7
18,54,56,1.5,1,7
18,69,65,0.5,0,7
18,73,67,1,0,7
18.5,63,61,0.5,0,7
19,69,65,0.5,0,7
19,71,66,0.5,0,7
19,75,68,0.5,0,7
19.5,40,48,1,1,7
19.5,52,55,1,1,7
19.5,68,64,0.5,0,7
19.5,71,66,1,0,7
19.5,76,69,1,0,7
20,64,62,0.5,0,7
20.5,39,47,0.5,1,7
20.5,51,54,0.5,1,7
20.5,66,63,0.5,0,7
20.5,71,66,0.5,0,7
20.5,78,70,0.5,0,7
21,40,48,1,1,8
21,52,55,1,1,8
21,71,66,0.5,0,8
21,80,71,1,0,8
21.5,68,64,0.5,0,8
22,37,46,0.5,1,8
22,49,53,0.5,1,8
22,69,65,0.5,0,8
22,76,69,0.5,0,8
22,81,72,0.5,0,8
22.5,32,43,1,1,8
22.5,44,50,1,1,8
22.5,76,69,0.5,0,8
22.5,83,73,1,0,8
23,71,66,0.5,0,8
23.5,32,43,0.5,1,8
23.5,44,50,0.5,1,8
23.5,75,68,0.5,0,8
23.5,78,70,0.5,0,8
23.5,84,73,0.5,0,8
24,32,43,1.5,1,9
24,44,50,1.5,1,9
24,75,68,1.5,0,9
24,78,70,1.5,0,9
24,84,73,2,0,9
25.5,33,44,1.5,1,9
25.5,45,51,1.5,1,9
25.5,73,67,1.5,0,9
25.5,76,69,1.5,0,9
25.5,84,73,0.5,0,9
26,87,75,0.5,0,9
26.5,85,74,0.5,0,9
27,34,44,1.5,1,10
27,46,51,1.5,1,10
27,76,69,1.5,0,10
27,78,70,2,0,10
28.5,35,45,1.5,1,10
28.5,47,52,1.5,1,10
28.5,69,65,1.5,0,10
28.5,75,68,1.5,0,10
28.5,78,70,0.5,0,10
29,80,71,0.5,0,10
29.5,81,72,0.5,0,10
30,37,46,1.5,1,11
30,49,53,1.5,1,11
30,64,62,1.5,0,11
30,69,65,1.5,0,11
30,76,69,1,0,11
31,75,68,0.5,0,11
31.5,39,47,1,1,11
31.5,51,54,1,1,11
31.5,66,63,1,0,11
31.5,69,65,1,0,11
31.5,73,67,1,0,11
32.5,42,49,0.5,1,11
32.5,54,56,0.5,1,11
32.5,63,61,0.5,0,11
32.5,69,65,0.5,0,11
32.5,71,66,0.5,0,11
33,54,56,2,1,12
33,59,59,1.5,1,12
33,63,61,2,0,12
33,69,65,1.5,0,12
33,71,66,1.5,0,12
34.5,63,61,0.5,0,12
34.5,69,65,0.5,0,12
34.5,75,68,0.5,0,12
35,51,54,0.5,1,12
35,59,59,0.5,1,12
35,66,63,0.5,0,12
35,69,65,0.5,0,12
35,78,70,0.5,0,12
35.5,52,55,0.5,1,12
35.5,59,59,0.5,1,12
35.5,64,62,0.5,0,12
35.5,68,64,0.5,0,12
35.5,76,69,0.5,0,12
36,54,56,2,1,13
36,59,59,1.5,1,13
36,63,61,1.5,1,13
36,69,65,1.5,0,13
36,71,66,1.5,0,13
37.5,83,73,0.5,0,13
38,54,56,0.5,1,13
38,59,59,0.5,1,13
38,63,61,0.5,1,13
38,71,66,0.5,0,13
38,81,72,0.5,0,13
38.5,56,57,0.5,1,13
38.5,59,59,0.5,1,13
38.5,64,62,0.5,1,13
38.5,71,66,0.5,0,13
38.5,80,71,0.5,0,13
39,57,58,1,1,14
39,61,60,1,1,14
39,64,62,1,1,14
39,73,67,1,0,14
39,80,71,0.5,0,14
39.5,78,70,0.5,0,14
40,58,58,0.5,1,14
40,61,60,0.5,1,14
40,66,63,0.5,1,14
40,73,67,0.5,0,14
40,76,69,0.5,0,14
40.5,59,59,1,1,14
40.5,63,61,1,1,14
40.5,66,63,1,1,14
40.5,71,66,1,0,14
40.5,76,69,0.5,0,14
41,75,68,0.5,0,14
41.5,61,60,0.5,1,14
41.5,64,62,0.5,1,14
41.5,66,63,0.5,0,14
41.5,70,65,0.5,0,14
41.5,76,69,0.5,0,14
42,63,61,1,1,15
42,66,63,1,0,15
42,69,65,1,0,15
42,71,66,1,0,15
43,64,62,0.5,1,15
43,68,64,0.5,0,15
43,71,66,0.5,0,15
43.5,59,59,1,1,15
43.5,63,61,1,0,15
43.5,66,63,1,0,15
43.5,71,66,1,0,15
44.5,47,52,0.5,1,15
44.5,63,61,0.5,0,15
44.5,66,63,0.5,0,15
44.5,69,65,0.5,0,15
45,49,53,1.5,1,16
45,64,62,1.5,0,16
45,68,64,1.5,0,16
46.5,64,62,0.5,1,16
47,66,63,0.5,1,16
47.5,68,64,0.5,1,16
48,58,58,1.5,1,17
49.5,57,58,1.5,1,17
49.5,63,61,0.5,1,17
49.5,78,70,0.5,0,17
50,61,60,0.5,1,17
50,76,69,0.5,0,17
50.5,59,59,0.5,1,17
50.5,75,68,0.5,0,17
51,56,57,1.5,1,18
51,65,62,1.5,1,18
51,74,68,1.5,0,18
51,83,73,1.5,0,18
52.5,42,49,0.5,1,18
52.5,81,72,1.5,0,18
52.5,85,74,1.5,0,18
53,44,50,0.5,1,18
53.5,45,51,0.5,1,18
54,47,52,0.5,1,19
54,68,64,2,0,19
54,76,69,1.5,0,19
54,80,71,1.5,0,19
54.5,58,58,0.5,1,19
