-1,38,47,1,1,0,D2, 
-1,50,54,1,0,0,D3, 
-1,62,61,1,0,0,D4, 
0,37,46,0.5,1,1,C#2,Y
0,61,60,0.5,0,1,C#4,Y
1,35,45,0.5,1,1,B1, 
1,59,59,0.5,0,1,B3, 
2,33,44,0.5,1,1,A1, 
2,57,58,0.5,0,1,A3, 
3,37,46,0.5,1,1,C#2,Y
3,61,60,0.5,0,1,C#4,Y
4,38,47,0.5,1,2,D2, 
4,62,61,0.5,0,2,D4, 
5,42,49,0.5,1,2,F#2,Y
5,66,63,0.5,0,2,F#4,Y
6,33,44,0.5,1,2,A1, 
6,45,51,0.5,1,2,A2, 
6,57,58,0.5,0,2,A3, 
6,69,65,0.5,0,2,A4, 
7,37,46,0.5,1,2,C#2,Y
7,49,53,0.5,1,2,C#3,Y
7,61,60,0.5,0,2,C#4,Y
7,73,67,0.5,0,2,C#5,Y
8,38,47,0.5,1,3,D2, 
8,50,54,0.5,1,3,D3, 
8,62,61,0.5,0,3,D4, 
8,74,68,0.5,0,3,D5, 
9,40,48,0.5,1,3,E2, 
9,52,55,0.5,1,3,E3, 
9,64,62,0.5,0,3,E4, 
9,76,69,0.5,0,3,E5, 
10,42,49,0.5,1,3,F#2,Y
10,54,56,0.5,1,3,F#3,Y
10,66,63,0.5,0,3,F#4,Y
10,78,70,0.5,0,3,F#5,Y
11,43,50,0.5,1,3,G2, 
11,55,57,0.5,1,3,G3, 
11,67,64,0.5,0,3,G4, 
11,79,71,0.5,0,3,G5, 
12,45,51,3,1,4,A2, 
12,57,58,3,1,4,A3, 
12,69,65,3,0,4,A4, 
12,81,72,3,0,4,A5, 
15,66,63,1,1,4,F#4,Y
15,69,65,1,1,4,A4, 
15,74,68,1,0,4,D5, 
16,64,62,1,1,5,E4, 
16,67,64,1,1,5,G4, 
16,73,67,1,0,5,C#5,Y
17,62,61,1,1,5,D4, 
17,66,63,1,1,5,F#4,Y
17,71,66,1,0,5,B4, 
18,61,60,1,1,5,C#4,Y
18,64,62,1,1,5,E4, 
18,69,65,1,0,5,A4, 
19,62,61,1,1,5,D4, 
19,66,63,1,1,5,F#4,Y
19,71,66,1,0,5,B4, 
19,81,72,1,0,5,A5, 
20,61,60,1,1,6,C#4,Y
20,64,62,1,1,6,E4, 
20,69,65,1,0,6,A4, 
20,81,72,3,0,6,A5, 
21,59,59,1,1,6,B3, 
21,62,61,1,1,6,D4, 
21,67,64,1,0,6,G4, 
22,57,58,1,1,6,A3, 
22,61,60,1,1,6,C#4,Y
