0,37,46,7,1,1,C#2,Y
0,40,48,7,1,1,E2, 
0,45,51,7,1,1,A2, 
0,49,53,2,1,1,C#3,Y
0,52,55,2,1,1,E3, 
0,57,58,2,1,1,A3, 
2,61,60,0.5,0,1,C#4,Y
3,64,62,0.5,0,1,E4, 
4,69,65,3,0,2,A4, 
7,49,53,0.5,1,2,C#3,Y
7,57,58,0.5,1,2,A3, 
7,69,65,0.5,0,2,A4, 
7.5,67,64,0.5,0,2,G4, 
8,50,54,0.5,1,3,D3, 
8,57,58,0.5,1,3,A3, 
8,67,64,0.5,0,3,G4, 
8.5,65,63,0.5,0,3,F4, 
9,52,55,1,1,3,E3, 
9,57,58,1,1,3,A3, 
9,65,63,0.5,0,3,F4, 
9.5,64,62,0.5,0,3,E4, 
10,53,56,0.5,1,3,F3, 
10,57,58,0.5,1,3,A3, 
10,64,62,0.5,0,3,E4, 
10.5,62,61,0.5,0,3,D4, 
11,49,53,0.5,1,3,C#3,Y
11,57,58,0.5,1,3,A3, 
11,69,65,0.5,0,3,A4, 
11.5,67,64,0.5,0,3,G4, 
12,50,54,0.5,1,4,D3, 
12,57,58,0.5,1,4,A3, 
12,67,64,0.5,0,4,G4, 
12.5,65,63,0.5,0,4,F4, 
13,52,55,0.5,1,4,E3, 
13,57,58,0.5,1,4,A3, 
13,65,63,0.5,0,4,F4, 
13.5,64,62,0.5,0,4,E4, 
14,53,56,0.5,1,4,F3, 
14,57,58,0.5,1,4,A3, 
14,64,62,0.5,0,4,E4, 
14.5,62,61,0.5,0,4,D4, 
15,54,56,0.5,1,4,F#3,Y
15,62,61,0.5,1,4,D4, 
15,74,68,0.5,0,4,D5, 
15.5,72,67,0.5,0,4,C5, 
16,55,57,0.5,1,5,G3, 
16,62,61,0.5,1,5,D4, 
16,72,67,0.5,0,5,C5, 
16.5,70,66,0.5,0,5,A#4,Y
17,57,58,0.5,1,5,A3, 
17,62,61,0.5,1,5,D4, 
17,70,66,0.5,0,5,A#4,Y
17.5,69,65,0.5,0,5,A4, 
18,58,59,0.5,1,5,A#3,Y
18,62,61,0.5,1,5,D4, 
18,69,65,0.5,0,5,A4, 
18.5,67,64,0.5,0,5,G4, 
19,58,59,0.5,1,5,A#3,Y
19,62,61,0.5,1,5,D4, 
19,67,64,0.5,0,5,G4, 
19.5,68,64,0.5,0,5,G#4,Y
20,57,58,2,1,6,A3, 
20,62,61,2,1,6,D4, 
20,65,63,2,0,6,F4, 
20,68,64,1.5,0,6,G#4,Y
21.5,71,66,0.25,0,6,B4, 
21.75,69,65,0.25,0,6,A4, 
22,57,58,2,1,6,A3, 
22,61,60,2,1,6,C#4,Y
22,64,62,2,0,6,E4, 
22,69,65,2,0,6,A4, 
24,40,48,7,1,7,E2, 
24,43,50,7,1,7,G2, 
